range_MPa,mean_MPa,count
129.230523,11.498678,1.000000
2.848297,73.345633,1.000000
1.983358,67.728051,1.000000
3.637123,-26.851456,1.000000
0.409712,-31.044995,1.000000
5.255872,-30.268651,1.000000
114.827271,19.009379,1.000000
2.178220,82.020288,1.000000
0.089373,-1.807467,1.000000
2.172010,-14.868363,1.000000
117.080457,35.447449,1.000000
0.920240,106.007355,1.000000
0.621189,98.306372,1.000000
0.105108,0.468494,1.000000
111.249285,52.793808,1.000000
2.614908,126.020912,1.000000
3.129363,23.820722,1.000000
1.980285,21.237340,1.000000
2.334920,46.114636,1.000000
0.868627,123.910606,1.000000
118.364878,72.026700,1.000000
200.522147,45.562750,1.000000
3.655785,21.819938,1.000000
1.282934,25.733087,1.000000
3.364501,136.032920,1.000000
2.100012,125.693962,1.000000
6.411006,33.369238,1.000000
0.441775,25.231030,1.000000
0.862349,30.104153,1.000000
0.483223,129.264369,1.000000
7.479993,127.695577,1.000000
111.896423,77.654155,1.000000
121.273128,80.508109,1.000000
4.378723,5.594459,1.000000
2.130186,15.105136,1.000000
0.727672,20.401535,1.000000
134.896401,66.757864,1.000000
2.425660,2.251044,1.000000
0.266403,109.283667,1.000000
0.369111,108.318275,1.000000
118.260144,52.368888,1.000000
1.688392,-13.615126,1.000000
0.763717,94.046223,1.000000
2.124937,91.680982,1.000000
3.131315,-24.554336,1.000000
124.977054,35.143122,1.000000
0.374853,-32.667941,1.000000
1.754256,80.909897,1.000000
1.657241,-29.964107,1.000000
115.432760,24.264120,1.000000
0.359932,-37.331343,1.000000
3.573319,-38.504258,1.000000
3.758865,31.777301,1.000000
2.463523,60.110605,1.000000
116.794114,18.009554,1.000000
203.612330,44.137967,1.000000
0.085101,45.794487,1.000000
0.729036,63.467851,1.000000
0.725796,57.843821,1.000000
3.298480,57.463970,1.000000
0.531758,-28.696964,1.000000
139.596858,10.611480,1.000000
0.503675,74.227675,1.000000
4.268667,76.737983,1.000000
128.346380,17.394181,1.000000
1.390082,87.295474,1.000000
1.083099,85.561181,1.000000
0.197686,46.884544,1.000000
2.884377,-27.627296,1.000000
117.934757,29.443139,1.000000
0.124604,97.733465,1.000000
7.446176,99.584696,1.000000
119.399783,48.306062,1.000000
7.453145,110.865872,1.000000
0.226954,115.195221,1.000000
1.624780,5.276157,1.000000
3.947702,5.212258,1.000000
116.664747,59.538895,1.000000
4.320808,125.758260,1.000000
0.984166,44.521835,1.000000
2.584135,22.666802,1.000000
2.002987,26.472563,1.000000
0.016007,130.250295,1.000000
1.578629,133.779598,1.000000
115.997342,78.086178,1.000000
1.567815,23.885330,1.000000
8.344958,113.455580,1.000000
126.468473,79.120360,1.000000
0.175119,144.521809,1.000000
0.787832,139.309844,1.000000
0.917872,21.107797,1.000000
4.262004,33.098988,1.000000
4.915763,124.508607,1.000000
2.380371,127.530356,1.000000
0.961665,132.320100,1.000000
114.306664,77.396479,1.000000
1.965962,2.011656,1.000000
0.095152,13.754015,1.000000
0.952927,72.738324,1.000000
0.542787,105.356209,1.000000
121.253809,61.115550,1.000000
1.182808,-12.212107,1.000000
0.790788,6.376240,1.000000
1.075024,91.065132,1.000000
113.390615,42.289460,1.000000
3.038841,-20.602355,1.000000
0.600201,77.030736,1.000000
2.078318,82.960750,1.000000
108.944979,29.699177,1.000000
1.400820,-43.495569,1.000000
1.995828,-42.225106,1.000000
4.100280,70.335188,1.000000
1.609526,71.944976,1.000000
0.362426,-14.828952,1.000000
0.967839,-20.639300,1.000000
119.965573,15.591297,1.000000
0.348605,-55.023386,1.000000
2.000926,69.764614,1.000000
0.921598,49.884484,1.000000
2.731548,49.042832,1.000000
0.380263,46.211272,1.000000
6.987629,-42.969063,1.000000
3.170228,-46.170884,1.000000
0.274330,-41.304399,1.000000
121.983004,13.079356,1.000000
1.611192,65.543061,1.000000
0.941600,-37.583503,1.000000
0.987998,26.141232,1.000000
131.037109,10.226829,1.000000
0.632378,-24.164470,1.000000
0.399913,74.755104,1.000000
110.811575,30.850666,1.000000
0.680083,97.842926,1.000000
1.083885,85.608051,1.000000
0.946300,54.600412,1.000000
1.081890,-22.559019,1.000000
0.810815,-11.576113,1.000000
123.720492,36.592777,1.000000
0.173659,100.158192,1.000000
0.463838,113.446874,1.000000
2.518011,78.324111,1.000000
123.229793,53.059472,1.000000
0.320121,126.944231,1.000000
7.918503,124.796187,1.000000
1.675321,12.711027,1.000000
3.201271,14.779502,1.000000
119.628520,69.341584,1.000000
1.485196,19.330464,1.000000
127.430183,80.324715,1.000000
1.414199,144.112031,1.000000
1.361654,134.930791,1.000000
2.272460,22.753267,1.000000
3.829891,138.603585,1.000000
121.741468,81.140071,1.000000
1.282613,16.667843,1.000000
