x,T_fe,T_1d,dT
0.036750000000000005,84.2141,84.20076297916243,0.013337020837568048
0.037125000000000005,84.1262,84.11287381960113,0.01332618039886313
0.037500000000000006,84.0397,84.026370120726,0.013329879273996426
0.037875000000000006,83.9546,83.94124985510254,0.013350144897458449
0.038250000000000006,83.8708,83.8575110277207,0.01328897227929815
0.03862500000000001,83.7885,83.77515167594788,0.013348324052117277
0.03900000000000001,83.7075,83.69416986948296,0.013330130517033467
0.03937500000000001,83.6279,83.61456371031116,0.013336289688837155
0.03975000000000001,83.5496,83.5363313326595,0.013268667340497586
0.04012500000000001,83.4728,83.45947090295302,0.013329097046991478
0.04050000000000001,83.3973,83.38398061977188,0.01331938022812551
0.04087500000000001,83.3232,83.30985871380915,0.013341286190851065
0.04125000000000001,83.2504,83.23710344782921,0.013296552170785958
0.04162500000000001,83.179,83.16571311662722,0.013286883372785496
0.04200000000000001,83.109,83.09568604698904,0.013313953010950286
0.04237500000000001,83.0403,83.02702059765198,0.01327940234801872
0.04275000000000002,82.973,82.95971515926645,0.013284840733547298
0.04312500000000002,82.907,82.89376815435816,0.013231845641840323
0.04350000000000001,82.8424,82.82917803729114,0.013221962708854562
0.04387500000000001,82.7792,82.7659432942316,0.013256705768398547
0.04425000000000001,82.7173,82.70406244311235,0.013237556887645496
0.04462500000000001,82.6568,82.64353403359806,0.013265966401945661
0.04500000000000001,82.5976,82.58435664705141,0.013243352948592246
0.04537500000000001,82.5398,82.52652889649967,0.013271103500329673
0.045750000000000006,82.4833,82.47004942660233,0.013250573397669996
0.04612500000000001,82.4282,82.41491691361915,0.013283086380852183
0.046500000000000014,82.3744,82.36113006537943,0.013269934620566914
0.046875000000000014,82.3219,82.30868762125135,0.01321237874864778
0.04725000000000001,82.2708,82.25758835211282,0.013211647887175104
0.04762500000000001,82.2211,82.20783106032235,0.013268939677658409
0.04800000000000001,82.1726,82.15941457969109,0.013185420308914786
0.048375000000000015,82.1256,82.1123377754556,0.013262224544405399
0.048750000000000016,82.0798,82.06659954425112,0.013200455748886952
0.049125000000000016,82.0354,82.02219881408577,0.013201185914226699
0.049500000000000016,81.9923,81.9791345443154,0.013165455684600147
0.04987500000000002,81.9506,81.93740572561921,0.013194274380779802
0.05025000000000001,81.9102,81.8970113799761,0.013188620023896647
0.05062500000000001,81.8712,81.85795056064177,0.013249439358233417
0.05100000000000001,81.8334,81.82022235212642,0.013177647873575893
