x_m,fe_mode1_uz,theory_mode1,fe_mode2_uy,theory_mode2,fe_mode3_uz,theory_mode3,fe_mode4_uz,theory_mode4
0.11875,0.10620245999138242,0.10677569880448468,0.10641221601813781,0.10677569880448468,0.8251981112746953,0.8290381112396984,1.6845240749671162,1.6895405447370666
0.12,0.10842025170070999,0.1089934758116321,0.10862475001752017,0.1089934758116321,0.8397361443301508,0.843565534959769,1.702153472405872,1.7071067811865475
0.12125,0.11065325915101426,0.11123272221393254,0.11086513995935174,0.11123272221393254,0.854298371402518,0.8581268826677466,1.7194803695003746,1.7242470829514667
0.1225,0.1129140540798399,0.11349338405525355,0.11312057876052829,0.11349338405525355,0.8689016456868734,0.8727189966260864,1.736248100845739,1.7409511253549588
0.12375,0.11518995197817217,0.11577540686344379,0.11540377403004684,0.11577540686344379,0.883525263880564,0.8873387124253521,1.7526990207076232,1.7572088465064843
0.125,0.11749352629747825,0.11807873565164495,0.11770200751749427,0.11807873565164495,0.8981813017655728,0.9019828596704392,1.7685651986787587,1.7730104533627367
0.12625,0.11981216574102867,0.12040331491961709,0.12002781032316098,0.12040331491961709,0.9128531802180448,0.9166482626681023,1.7840997867646593,1.7883464276266063
0.1275,0.12215828689005709,0.12274908865507572,0.12236863237727567,0.12274908865507572,0.9275494909649908,0.9313317411156262,1.7990263885215894,1.8032075314806448
0.12875,0.12451939599049387,0.12511600033504167,0.12473681776880717,0.12511600033504167,0.9422568644501015,0.9460301107904979,1.8136079333226167,1.8175848131515835
0.13,0.12690793667575537,0.12750399292720282,0.12711995782001745,0.12750399292720282,0.9569806666008334,0.9607401842409311,1.82755790800056,1.831469612302545
0.13125,0.1293109000654078,0.12991300889128854,0.12953033170723705,0.12991300889128854,0.9717108088076397,0.9754587714770877,1.8411510963384707,1.8448535652497071
0.1325,0.1317417366991914,0.13234299018045603,0.13195554037626947,0.13234299018045603,0.9864491602487412,0.9901826806628503,1.854091309781228,1.857728610000272
0.13375,0.1341870170676586,0.13479387824268874,0.13440789307701254,0.13479387824268874,1.0011895810628355,1.0049087188079977,1.8666634649676979,1.8700869911087117
0.135,0.1366595629325931,0.13726561402220816,0.13687494698666258,0.13726561402220816,1.0159295282352432,1.0196336924606284,1.8785622429984081,1.881921264348355
0.13625,0.13914673249407666,0.13975813796089553,0.13936897003866264,0.13975813796089553,1.0306670691164284,1.0343544083996823,1.8900827141096574,1.8932243011955152
0.1375,0.14166067537832877,0.142271389999728,0.14187764673706632,0.142271389999728,1.0453959616666757,1.0490676743274179,1.900911879242309,1.9039892931234434
0.13875,0.14418954189557218,0.14480530958022486,0.1444131259239901,0.14480530958022486,1.0601179162818652,1.0637702995616847,1.9113531415770886,1.9142097557035307
0.14,0.1467449281213723,0.1473598356459077,0.14696316700980377,0.1473598356459077,1.0748229606818454,1.0784590957278448,1.9210861606749323,1.9238795325112867
0.14125,0.14931491279810583,0.14993490664377107,0.1495399016715569,0.14993490664377107,1.0895164888879336,1.0931308774501993,1.930423018930758,1.9329927988347386
0.1425,0.15191140398156042,0.15253046052576547,0.152131087237603,0.15253046052576547,1.1041850722426612,1.1077824630427593,1.9390363963515496,1.9415440651830207
0.14375,0.15452242482743614,0.15514643475029288,0.1547487262537204,0.15514643475029288,1.118837405067657,1.122410675199216,1.9472453583431135,1.9495281805930365
0.145,0.15715998831137262,0.15778276628371335,0.15738080779979902,0.15778276628371335,1.1334560941414045,1.1370123416819675,1.9547189510964535,1.9569403357322086
0.14625,0.15981179773406867,0.16043939160186427,0.16003919099383457,0.16043939160186427,1.1480550815106698,1.151584296010041,1.961781119482658,1.9637760657954397
0.1475,0.16248993069067535,0.16311624669159064,0.16271194976944378,0.16311624669159064,1.162611528531259,1.1661233781457652,1.96809656778101,1.9700312531945439
0.14875,0.16518216274457095,0.1658132670522876,0.16541073606087728,0.1658132670522876,1.1771445140563497,1.1806264351800524,1.973994538617145,1.9757021300385285
0.15,0.16790075168438315,0.16853038769745476,0.1681237906869167,0.16853038769745476,1.1916252762153299,1.1950903220161282,1.979136215380946,1.9807852804032304
0.15125,0.17063340775914526,0.17126754315626191,0.170862790427206,0.17126754315626191,1.206078835192728,1.2095119020515686,1.9838558474938077,1.985277642388941
0.1525,0.17339201354741807,0.1740246674751268,0.17361600992172327,0.1740246674751268,1.22047336376554,1.2238880478584981,1.9878116298243704,1.989176509964781
0.15375,0.17616457992951073,0.17680169421930414,0.1763950125958973,0.17680169421930414,1.2348323608877454,1.2382156418617947,1.9913410641947271,1.99247953459871
0.155,0.17896303881715944,0.17959855647448641,0.17918798703303654,0.17959855647448641,1.2491283528442856,1.252491577015158,1.9941021472758478,1.9951847266721967
0.15625,0.1817754830810213,0.1824151868484163,0.1820066188035202,0.1824151868484163,1.2633824287601725,1.266712757474898,1.9964337360087712,1.9972904566786902
0.1575,0.18461344186103862,0.18525151747251056,0.1848392077628557,0.18525151747251056,1.2775677683627442,1.2808760992712922,1.9979917707636545,1.9987954562051724
0.15875,0.1874651363404468,0.1881074800034952,0.18769722276666947,0.1881074800034952,1.2917073836457238,1.2949785309773634,1.9991195016711405,1.9996988186962041
0.16,0.19034258690644235,0.19098300562505255,0.1905690829005967,0.19098300562505255,1.3057654830301606,1.3090169943749475,1.9994714517575927,2.0
0.16125,0.19323390403212984,0.19387802504947904,0.1934662198678413,0.19387802504947904,1.3197775126445657,1.3229884451178864,1.999392853706498,1.9996988186962041
0.1625,0.19615003620829258,0.19679246851935506,0.19637711692640447,0.19679246851935506,1.3336975234184572,1.33688985339222,1.9985381049422084,1.9987954562051724
0.16375,0.19907993650940758,0.1997262658092257,0.1993131006608056,0.1997262658092257,1.3475688943542894,1.3507182045732231,1.997253094966067,1.9972904566786902
0.165,0.20203510188146692,0.2026793462272929,0.20226274353187315,0.2026793462272929,1.3613396351609466,1.3644704998791497,1.9951938304061727,1.995184726672197
0.16625,0.2050038783461172,0.20565163861711855,0.20523728292129934,0.20565163861711855,1.3750553411343638,1.3781437570215405,1.992705384350796,1.99247953459871
0.1675,0.20799724195586877,0.20864307135933968,0.20822535893230548,0.20864307135933968,1.3886670956599247,1.391735010851956,1.9894462506935477,1.9891765099647811
0.16875,0.21100430026983732,0.21165357237339377,0.21123815643350852,0.21165357237339377,1.4022179676670978,1.40524131400499,1.985760667096479,1.985277642388941
0.17,0.2140358102363831,0.21468306911925517,0.21426441555744133,0.21468306911925517,1.4156560251335173,1.418659737537428,1.9813092626873876,1.9807852804032304
0.17125,0.21708083795622535,0.21773148859918356,0.2173152005545825,0.21773148859918356,1.4290303345077242,1.431987371563412,1.976435047339859,1.9757021300385285
0.1725,0.220150577427969,0.22079875735948318,0.22037930545855097,0.22079875735948318,1.442284323077716,1.445221325885468,1.9708030635367566,1.970031253194544
0.17375,0.22323326720568584,0.22388480149227208,0.22346776588053577,0.22388480149227208,1.455469779275014,1.458358730621271,1.9647526464286107,1.96377606579544
0.175,0.226340563815452,0.226989546637263,0.22656946857327717,0.226989546637263,1.4685285779416646,1.4713967368259973,1.9579530876488862,1.956940335732209
0.17625,0.22946074726973562,0.2301129179835555,0.22969530937527685,0.2301129179835555,1.4815126323707946,1.4843325171101411,1.9507401651608829,1.949528180593037
0.1775,0.2326051440487207,0.2332548402714385,0.23283430736297117,0.2332548402714385,1.4943647226510826,1.4971632662526542,1.942789462221738,1.941544065183021
0.17875,0.2357626896244366,0.23641523779420337,0.23599722082299165,0.23641523779420337,1.5071397566731386,1.5098862018092802,1.9344316243969806,1.932992798834739
0.18,0.23894400545271946,0.23959403439996907,0.23917313684430389,0.23959403439996907,1.519771967748809,1.5224985647159488,1.9253490036245973,1.923879532511287
0.18125,0.24213839364605289,0.24279115349351532,0.2423728900078662,0.24279115349351532,1.532322950107628,1.534997619887097,1.9158679467700983,1.914209755703531
0.1825,0.24535638718481276,0.24600651803813045,0.24558550105572796,0.24600651803813045,1.544726901683988,1.5473806568087962,1.905674387733408,1.9039892931234437
0.18375,0.24858729883559566,0.24924005055746556,0.24882163953436365,0.24924005055746556,1.5570453417904593,1.5596449901265461,1.8950913097812276,1.8932243011955157
0.185,0.2518415805148743,0.25249167313740317,0.2520707629002869,0.25249167313740317,1.5692059256133553,1.5717879602276121,1.8838133721201564,1.8819212643483554
0.18625,0.2551087886441775,0.255761307427933,0.25534256807453853,0.255761307427933,1.5812807440811005,1.583806933817786,1.8721542784481353,1.8700869911087115
0.1875,0.2583992310778411,0.2590488746450408,0.25862792717423805,0.2590488746450408,1.5931935879133465,1.5956993044924332,1.859818147877355,1.8577286100002723
0.18875,0.2617021624480624,0.26235429557260703,0.2619362578526538,0.26235429557260703,1.6050135451169276,1.607462493301711,1.8471113000902837,1.8448535652497071
0.19,0.2650283383135348,0.26567749056431444,0.26525694182717663,0.26567749056431444,1.616663948585612,1.6190939493098337,1.8337462470637649,1.8314696123025453
0.19125,0.26836694382310994,0.2690183795455683,0.2686005423226539,0.2690183795455683,1.628218564474352,1.630591150148264,1.8200221900727165,1.8175848131515837
0.1925,0.27172862081440535,0.2723768820154251,0.27195672421067957,0.2723768820154251,1.6395981847432632,1.641951602562703,1.8056615279311792,1.8032075314806448
0.19375,0.27510260029528083,0.275752917048533,0.2753357573831522,0.275752917048533,1.6508796866822781,1.6531728429537766,1.7909532472441017,1.7883464276266068
0.195,0.2784991614002894,0.27914640329708107,0.27872694120215535,0.27914640329708107,1.661976162452564,1.6642524379112817,1.7756311673900305,1.773010453362737
0.19625,0.2819082350661932,0.2825572589927601,0.2821406714059,0.2825572589927601,1.6729714795128818,1.6751879847418905,1.7599744653416232,1.7572088465064848
