x_m,fe_mode1,theory_mode1,fe_mode2,theory_mode2,fe_mode3,theory_mode3
0.115,0.12565990826589996,0.12617385689934538,-0.5002292900262315,-0.5001734249018353,0.7607221766938344,0.7575190372303022
0.11625,0.12820124284729015,0.12872019542400623,-0.506839907728241,-0.5067575864628082,0.7610626139256401,0.7577896569225757
0.1175,0.13076968103106598,0.13128725008874145,-0.5133712496155537,-0.5132804351270022,0.7608974523943497,0.7576674447252989
0.11875,0.1333525231278837,0.13387487815544075,-0.5198573603913496,-0.5197396442078205,0.7604490253805899,0.7571510416261091
0.12,0.1359620169088076,0.13648293704078068,-0.5262587924032377,-0.526132910784436,0.7594912318380181,0.7562393636376377
0.12125,0.1385857649575866,0.13911128431927647,-0.5326123224447432,-0.5324579560008532,0.7582494334474612,0.7549316016099841
0.1225,0.1412358355729096,0.14175977772635578,-0.5388745658250661,-0.5387125253619144,0.7564962420376423,0.753227220899702
0.12375,0.14389994722806498,0.1444282751614579,-0.5450855657456402,-0.5448943890261506,0.7544583517562231,0.7511259608950316
0.125,0.1465898930113664,0.14711663469115618,-0.5512001020291413,-0.5510013420953667,0.7519083364032361,0.7486278343971495
0.12625,0.1492938023565596,0.14982471455230403,-0.5572590969861165,-0.5570312049008608,0.7490740989999309,0.745733126857377
0.1275,0.15202315145626827,0.1525523731552043,-0.5632173267945109,-0.5629818232861769,0.7457292262259048,0.7424423954703179
0.12875,0.15476628282676236,0.15529946908680226,-0.5691166869080446,-0.5688510688862864,0.7421002147721529,0.738756468123063
0.13,0.15753440290648346,0.1580658611139008,-0.5749091827801681,-0.5746368394031013,0.737963815012854,0.7346764422006289
0.13125,0.16031609464793986,0.1608514081863999,-0.5806402540010107,-0.5803370588772205,0.733545725036488,0.730203683247963
0.1325,0.1631225801306599,0.1636559694405576,-0.5862589078683152,-0.5859496779558091,0.7286227654240478,0.7253398234888881
0.13375,0.16594236635694515,0.16647940420227406,-0.5918140982218262,-0.5914726741565193,0.7234207176346055,0.7200867602025025
0.135,0.16878649804367651,0.16932157199039818,-0.597250625610784,-0.5969040521273531,0.7177184843199991,0.7144466539576113
0.13625,0.17164376875241247,0.17218233252005624,-0.6026215492999142,-0.6022418439023779,0.711740943757884,0.708421926705884
0.1375,0.17452505012959169,0.17506154570600277,-0.6078684267568274,-0.6074841091531974,0.7052714084656386,0.7020152597345359
0.13875,0.1774192983313241,0.177959071665993,-0.6130465543821272,-0.6126289354360903,0.6985296762340345,0.6952295914793791
0.14,0.1803370742192949,0.18087477072417762,-0.6180962380428039,-0.6176744384347282,0.6913024024486734,0.6880681151992571
0.14125,0.18326766110294662,0.1838085034145187,-0.623074471855154,-0.6226187621983789,0.6838086835635017,0.680534276512899
0.1425,0.18622161766148723,0.18676013048422752,-0.6279191670979112,-0.6274600793755128,0.6758384520134557,0.6726317707993617
0.14375,0.18918794159084276,0.18972951289722254,-0.6326910129156437,-0.6321965914427254,0.6676069904135447,0.6643645404633194
0.145,0.19217726293722562,0.1927165118376098,-0.6373233056287125,-0.6368265289288864,0.6589104262187699,0.6557367720665264
0.14625,0.19517887221225322,0.195720988713184,-0.6418798601029785,-0.641348151634443,0.6499583999027401,0.6467528933269016
0.1475,0.19820314578553777,0.1987428051589492,-0.6462939580798787,-0.6457597488457818,0.6405522876111673,0.6374175699867317
0.14875,0.20123946706947626,0.2017818230406615,-0.6506293706885019,-0.650059639544581,0.6308978655175742,0.6277357025516288
0.15,0.20429802219441817,0.2048379044583919,-0.6548171505528153,-0.6542461726120652,0.6208029022444044,0.6177124229019064
0.15125,0.20736859061962348,0.2079109117501084,-0.6589242856414744,-0.6583177270280897,0.6104664465434381,0.6073530907781777
0.1525,0.21046090350169405,0.21100070749527972,-0.6628802212520822,-0.6622727120649752,0.5997038347466732,0.5966632901430184
0.15375,0.21356501929322574,0.21410715451849774,-0.66675260942328,-0.6661095674760188,0.5887078569608992,0.5856488254206598
0.155,0.21669060462224443,0.2172301158931207,-0.6704702787641877,-0.6698267636786105,0.5773010596117067,0.5743157176167237
0.15625,0.2198277759952395,0.220369454944935,-0.6741021700903228,-0.6734228019318764,0.5656697927932895,0.5626702003200963
0.1575,0.22298603540870654,0.2235250352558376,-0.6775757765813729,-0.6768962145087827,0.5536430524510066,0.5507187155891753
0.15875,0.22615571638011814,0.2266967206675368,-0.6809615013189261,-0.680245564862632,0.5414018968404031,0.5384679097246794
0.16,0.22934615481945475,0.22988437528527306,-0.6841846105520385,-0.6834694477878813,0.528783060745503,0.5259246289314259
0.16125,0.2325477753262375,0.23308786348155708,-0.6873185193679838,-0.6865664895752126,0.515959386761904,0.5130959148714522
0.1625,0.23576976140078895,0.2363070498999295,-0.6902848405374794,-0.6895353481607984,0.502776503999452,0.49998900011096303
0.16375,0.23900281729070907,0.23954179945873677,-0.6931608758889207,-0.6923747132696911,0.48939898454472297,0.48661130346368875
0.165,0.24225585666938895,0.24279197735492614,-0.6958671834078782,-0.6950833065532822,0.47568143447265615,0.4729704252332585
0.16625,0.24551981236254097,0.24605744906786037,-0.6984804562526731,-0.6976598817207595,0.4617812172388767,0.45907414235727106
0.1675,0.24880337994133433,0.24933808036314817,-0.7009208799173691,-0.7001032246645129,0.44756123575490014,0.44493040345585566
0.16875,0.2520976161961866,0.2526337372964955,-0.7032664997554823,-0.7024121535794305,0.43316962054891445,0.43054732378751304
0.17,0.25541118214237785,0.2559442862175722,-0.705435958081978,-0.7045855190760181,0.4184786990659707,0.41593318011513425
0.17125,0.25873519007799595,0.259269593773898,-0.7075085985035492,-0.7066222042873039,0.4036277301793858,0.40109640548515735
0.1725,0.26207822550460974,0.2626095269147452,-0.7094037580208866,-0.7085211249694597,0.38850111105575014,0.3860455839228374
0.17375,0.2654315393076093,0.26596395289505953,-0.7112003137151168,-0.7102812295960997,0.3732266919610118,0.3707894450467144
0.175,0.2688034329755304,0.26933273927939705,-0.71281548864296,-0.711901499446194,0.3576984832761115,0.3553368586053782
0.17625,0.27218544031555764,0.2727157539458799,-0.7143308846864266,-0.7133809486855606,0.3420354483275176,0.3396968289397222
0.1775,0.27558576023979836,0.27611286509016675,-0.715662982106062,-0.7147186244418794,0.32614212720197916,0.3238784893738753
0.17875,0.27899597762540373,0.2795239412294423,-0.7168936080282519,-0.7159136068731887,0.3101272511677971,0.3078910965381034
0.18,0.28242416625578803,0.2829488512064218,-0.7179384970015819,-0.716965009229814,0.293905987063824,0.29174402462699334
0.18125,0.28586198928628487,0.28638746419337285,-0.7188819567563457,-0.7178719779096953,0.2775766797183329,0.27544675959625664
0.1825,0.2893175412338419,0.28983964969615256,-0.7196361616679035,-0.7186336925070586,0.26106561965488917,0.2590088933015995
0.18375,0.2927825070058155,0.29330527755826247,-0.7202869342167462,-0.7192493658544105,0.2444603130859732,0.2424401175830475
0.185,0.2962648179426077,0.29678421796491794,-0.7207484971170469,-0.719718244057795,0.22769846418863376,0.2257502182982538
0.18625,0.2997564832676875,0.3002763414471343,-0.7211041302849619,-0.7200396065253013,0.21085646477841488,0.20894906930828405
0.1875,0.3032650862890922,0.30378151888582805,-0.7212694020693441,-0.7202127659887633,0.19388343422162288,0.19204662641944914
0.18875,0.3067828353449608,0.3072996215159342,-0.7213283410140936,-0.720237068518638,0.17684451903040907,0.17505292128472405
0.19,0.3103172364836377,0.3108305209305384,-0.7211938905328084,-0.7201118935320167,0.1597007432334727,0.15797805526843867
0.19125,0.31386057733993356,0.31437408908502545,-0.7209528630149146,-0.7198366537937438,0.14250549713873228,0.14083219327781293
0.1925,0.31742015218915504,0.3179301983012408,-0.7205173373438203,-0.7194107954106211,0.1252316610969626,0.12362555756506133
0.19375,0.32098857370971734,0.32149872127166956,-0.7199739917828519,-0.7188337978186551,0.10792111062090665,0.10636842150368864
0.195,0.32457292331265075,0.325079531063628,-0.7192349533258665,-0.7181051737633329,0.09055852065992387,0.0890711033427678
0.19625,0.32816588256990076,0.3286725011234717,-0.7183881110158232,-0.7172244692729087,0.07317407977862153,0.07174395994285732
0.1975,0.33177456446566783,0.33227750528081595,-0.7173433270107457,-0.716191263624656,0.05576422081263027,0.05439738049735965
0.19875,0.33539155323341435,0.3358944177527729,-0.7161901049694187,-0.7150051693040912,0.038347508074569846,0.037041780243022515
0.2,0.33902392984767493,0.33952311314820105,-0.7148386861018885,-0.7136658319571251,0.020932366682030988,0.01968759416342003
0.20125,0.34266451177597584,0.3431634664719694,-0.7133788270112705,-0.7121729303351442,0.003525280867663789,0.002345270689138701
0.2025,0.3463200504387941,0.3468153531292361,-0.711718734418775,-0.7105261762329927,-0.013853242110108814,-0.014974734601514328
0.20375,0.34998378110254175,0.3504786489297394,-0.7099493378019484,-0.708725314419845,-0.031208730110619684,-0.03226196527750602
0.205,0.35366205543062146,0.35415323009210437,-0.7079810773731485,-0.7067701225629536,-0.048508682202513274,-0.04950597034195603
0.20625,0.35734826088085553,0.35783897324816044,-0.7059017255439425,-0.7046604111442617,-0.06577061277743694,-0.06669631050711722
0.2075,0.3610487990226256,0.3615357554472739,-0.7036238452180138,-0.7023960233698767,-0.08295006775067304,-0.08382256445368519
0.20875,0.3647570796477704,0.36524345416069426,-0.7012351082123545,-0.6999768350723763,-0.10007653946925095,-0.10087433507060872
0.21,0.36847936130066555,0.36896194728591125,-0.6986459882708476,-0.6974027546059658,-0.11709372155595589,-0.11784125567164416
0.21125,0.3722092250976105,0.3726911131510268,-0.6959472807449387,-0.694673722734459,-0.13404318726856754,-0.134712996184863
0.2125,0.3759527601500003,0.37643083051913917,-0.6930474737290706,-0.6917897125120922,-0.1508567315643103,-0.151479269311384
0.21375,0.3797036321087516,0.3801809785927383,-0.690037802129246,-0.6887507291571648,-0.16758766774300296,-0.16812983664952696
0.215,0.3834680298244676,0.3839414370181169,-0.6868277439488427,-0.685556809918497,-0.18415651810707248,-0.18465451478068928
0.21625,0.3872395612579174,0.38771208588978945,-0.6835072015802154,-0.6822080239347212,-0.2006282428280832,-0.2010431813132456
0.2175,0.3910241521984523,0.3914928057549266,-0.6799871925611098,-0.678704472086394,-0.2169116237276304,-0.21728578088071515
0.21875,0.3948158153836132,0.3952834776178017,-0.6763563611227451,-0.6750462868409397,-0.2330835992105624,-0.23337233109059596
0.22,0.3986200764091816,0.3990839829442464,-0.6725262788019764,-0.671233632090425,-0.24904159141647975,-0.24929292842012885
0.22125,0.40243164625990463,0.4028942036661201,-0.6685862509842231,-0.6672667029821816,-0.2648740517902361,-0.26503775405548424
0.2225,0.40625520009294736,0.40671402218579145,-0.6644473316545411,-0.6631457257422652,-0.2804671620678899,-0.2805970796706312
0.22375,0.41008555743492303,0.41054332138062993,-0.6601990762268952,-0.658870957491784,-0.2959209773449703,-0.2959612731424812
0.225,0.41392862625161925,0.4143819846075085,-0.6557516960245373,-0.6544426860560836,-0.31111066939323606,-0.3111208041986373
0.22625,0.4177774960927202,0.4182298957073197,-0.6511960716856187,-0.6498612297668186,-0.326147425110592,-0.32606624999433365
0.2275,0.42163829244424095,0.42208693900950056,-0.6464417008950643,-0.6451269372569125,-0.34089595435644365,-0.3407883006150989
0.22875,0.42550631788774934,0.4259529993365683,-0.6415798834350883,-0.6402401872484282,-0.3554782318176801,-0.3552777645017038
0.23,0.42938534447134385,0.4298279620086689,-0.6365207249317444,-0.6352013883333618,-0.36974870414126526,-0.3695255737939753
0.23125,0.4332704383415616,0.4337117128481349,-0.6313543923848566,-0.6300109787473707,-0.38383995089969414,-0.38352278959027686
0.2325,0.43716657409143994,0.43760413818405275,-0.6259922780105156,-0.6246694261364718,-0.3975968602283902,-0.39726060711915423
0.23375,0.44106871310861023,0.4415051248568428,-0.6205229502295364,-0.6191772273167162,-0.41116184357917324,-0.41073036082013914
0.235,0.4449827342591642,0.44541456022284787,-0.61485947637637,-0.6135349080268604,-0.4243698186959475,-0.4239235293302599
0.23625,0.44890219850786145,0.449332332158932,-0.6090892614737006,-0.607743022674068,-0.43737350734004565,-0.4368317403734281
0.2375,0.45283208990514046,0.4532583290670908,-0.60312655156198,-0.6018021540726649,-0.44999975976105633,-0.4494467755492053
0.23875,0.4567679896621584,0.4571924398790676,-0.5970584418617589,-0.5957129131759545,-0.46241029150578794,-0.46176057501834933
0.24,0.4607143463949466,0.46113455406098575,-0.590799375228962,-0.589475938801152,-0.47442110148305094,-0.4737652420817966
0.24125,0.46466573446517906,0.46508456161798406,-0.5844354307331414,-0.5830918973474372,-0.4862060056766743,-0.4854530476503385
0.2425,0.46862770318489005,0.4690423530988652,-0.5778822445151464,-0.5765614825071765,-0.49757223738214057,-0.49681643460212044
0.24375,0.472595344890343,0.4730078196007528,-0.5712250792247884,-0.569885414970319,-0.5087005652518846,-0.5078480220250761
0.245,0.4765723239607614,0.47698085277375735,-0.5643810966873068,-0.5630644421220377,-0.519391396431313,-0.5185406093416667
0.24625,0.48055462027313767,0.48096134482565134,-0.5574338261184572,-0.556099337733609,-0.5298354784477036,-0.5288871803130668
0.2475,0.48454680102476466,0.4849491885265532,-0.5503020002225326,-0.5489909016465921,-0.5398232249452009,-0.5388809069204328
0.24875,0.48854338456040186,0.488944277213621,-0.5430687276133334,-0.5417399594503297,-0.549554465726397,-0.5485151531204764
0.25,0.49255028321079103,0.4929465047957521,-0.5356519420701209,-0.5343473621528211,-0.5588122376006592,-0.5577834784729987
0.25125,0.4965613736723941,0.49695576575829514,-0.5281350758588065,-0.5268139858449788,-0.5678045216742807,-0.5666796416379256
0.2525,0.5005819193527313,0.5009719551677678,-0.5204367610891086,-0.519140731358351,-0.5763088069556349,-0.5751976037395252
0.25375,0.5046062108914408,0.5049949686765826,-0.5126405444714912,-0.511328523916303,-0.5845375963086661,-0.5833315315955474
0.255,0.5086404981757382,0.5090247025277841,-0.5046649531474205,-0.5033783127787377,-0.5922640295758492,-0.5910758008090227
0.25625,0.5126791285896689,0.5130610535597895,-0.4965922778530633,-0.49529107088037705,-0.5997074094436489,-0.5984249987207875
0.2575,0.5167262161027598,0.5171039192111407,-0.4883436692072482,-0.48706779446265175,-0.6066340700814515,-0.6053739272203558
0.25875,0.520777750049405,0.5211531975252629,-0.4799986552400559,-0.4787095026992451,-0.6132704240783399,-0.6119176054136588
0.26,0.5248377636474746,0.5252087871552313,-0.4714806178746238,-0.4702172373153449,-0.6193783182181353,-0.6180512721452445
0.26125,0.5289016351377461,0.5292705873685439,-0.4628680558690024,-0.4615920622006423,-0.6251888550513982,-0.6237703883735222
0.2625,0.532973864060719,0.5333384980519049,-0.45408478705615485,-0.4528350630161169,-0.6304584344832529,-0.6290706393971348
0.26375,0.5370499916154682,0.5374124197160107,-0.44520885897643586,-0.4439473467946866,-0.6354258020998756,-0.6339479369308094
0.265,0.5411343209195448,0.5414922535003487,-0.43616513185587025,-0.4349300415357369,-0.639841904345804,-0.6383984210293079
0.26625,0.5452221152699268,0.5455779011779976,-0.42703032582378786,-0.42578429579360727,-0.6439496743511754,-0.6424184618576305
0.2675,0.5493178902119465,0.5496692651604398,-0.41772998412880025,-0.41651127826007056,-0.6474979574753374,-0.6460046613065415
0.26875,0.5534173018884783,0.5537662485023757,-0.4083406592426121,-0.40711217734087646,-0.6507332169348227,-0.6491538544515834
0.27,0.5575240154062375,0.5578687549065503,-0.3987901687259689,-0.39758820072638784,-0.6534001017691656,-0.6518631108548476
0.27125,0.5616345831787366,0.5619766887285809,-0.389151016847871,-0.3879405749563945,-0.6557502368584124,-0.6541297357080182
0.2725,0.5657516816505185,0.5660899549817943,-0.37935362387146004,-0.3781705449791244,-0.6575258600768094,-0.6559512708156561
0.27375,0.5698729908483164,0.5702084593420707,-0.369470262989792,-0.36827937370456043,-0.6589817972963545,-0.6573254954179575
0.275,0.5740006597846831,0.5743321081526925,-0.3594316894167859,-0.35826834155205173,-0.6598571322038856,-0.6582504268518079
0.27625,0.5781316446314129,0.5784608084291999,-0.34930901724814994,-0.3481387459923514,-0.6604093153824162,-0.6587243210496041
0.2775,0.5822700004311483,0.582594467864253,-0.3390345046390719,-0.3378919010840814,-0.6603776608848941,-0.6587456728748364
0.27875,0.5864107205811866,0.5867329948324983,-0.3286776875167439,-0.3275291370047156,-0.6600211104578221,-0.6583132162941112
0.28,0.5905581976806443,0.5908762983954435,-0.3181725270004587,-0.3170517995761364,-0.6590766847315382,-0.6574259243847607
0.28125,0.5947092504052524,0.5950242883063358,-0.3075870786005772,-0.3064612497848185,-0.657807183170742,-0.6560830091778485
0.2825,0.598866004487806,0.5991768750150461,-0.29685667647944874,-0.2957588632967127,-0.6559482142249494,-0.6542839213359457
0.28375,0.6030250334390973,0.6033339696729615,-0.2860480129451514,-0.284946029966883,-0.6537628435596982,-0.6520283496656702
0.285,0.6071911292515706,0.6074954841378787,-0.27509802722666526,-0.2740241533439721,-0.6509874116768106,-0.6493162204644705
0.28625,0.6113597421877509,0.6116613309789066,-0.26407183339065765,-0.2629946501695449,-0.6478857908888711,-0.6461476967019593
0.2875,0.6155342594522569,0.6158314234813708,-0.25290798141851994,-0.25185894987239177,-0.6441950669137859,-0.6425231770351729
0.28875,0.6197108238803788,0.6200056756517279,-0.2416699004177853,-0.24061849405783772,-0.6401782374042411,-0.638443294658444
0.29,0.6238938891805952,0.6241840022224786,-0.23029800683658225,-0.22927473599214734,-0.6355754910730829,-0.6339089159876892
0.29125,0.6280792468093666,0.6283663186570917,-0.21885394495768087,-0.21782914008206944,-0.6306477047421405,-0.628921139179397
0.2925,0.6322692327447923,0.6325525411549283,-0.20727980088047368,-0.20628318134960005,-0.625136154598565,-0.6234812924844988
0.29375,0.6364620180709767,0.6367425866561737,-0.1956355744580052,-0.19463834490203238,-0.6193025109474547,-0.6175909324379347
0.295,0.6406601591962163,0.6409363728467719,-0.1838652610455468,-0.18289612539737263,-0.6128890694374137,-0.6112518418838562
0.29625,0.6448604580639169,0.6451338181633669,-0.1720270843458396,-0.17105802650513863,-0.606156637414778,-0.6044660278375176
0.2975,0.6490656209458098,0.6493348417982451,-0.16006656364907434,-0.15912556036269498,-0.5988494068434663,-0.59723571918407
0.29875,0.6532731583628992,0.6535393637042864,-0.14804029375482053,-0.14710024702712995,-0.5912264547643635,-0.5895633642153513
0.3,0.6574853560963085,0.657747304599914,-0.13589569147311395,-0.13498361392274785,-0.5830360568377696,-0.5814516280052828
0.30125,0.661699678835021,0.6619585859740542,-0.12368755985377222,-0.12277719528428442,-0.5745339084763342,-0.5729033896248836
0.3025,0.6659177932641268,0.6661731300910957,-0.11136506357402204,-0.11048253159589055,-0.5654711345669153,-0.5639217391975819
0.30375,0.6701386110549942,0.6703908599958551,-0.0989811957102741,-0.09810116902594358,-0.556101828929205,-0.5545099747963036
0.305,0.6743632598208447,0.6746116995185459,-0.08648706292531823,-0.0856346588577995,-0.5461804081258157,-0.5446715991831184
0.30625,0.6785905712088822,0.678835573279751,-0.07393372607788108,-0.07308455691649333,-0.5359572940137729,-0.5344103163927656
0.3075,0.6828211337604594,0.6830624066953976,-0.06127414794645359,-0.0604524229915333,-0.5251931669199268,-0.5237300281614523
0.30875,0.687054150871397,0.6872921259817398,-0.048557658069650164,-0.04773982025580653,-0.5141320715823123,-0.5126348302018897
0.31,0.69129043296823,0.6915246581603386,-0.03573889613024041,-0.03494831468068872,-0.5025411685630295,-0.5011290083264868
0.31125,0.6955283817501533,0.6957599310630512,-0.022865487332314673,-0.02207947444743227,-0.49065996475340007,-0.4892170344197524
0.3125,0.6997706991239439,0.6999978733370197,-0.009893915475889317,-0.009134869354882757,-0.4782596590700042,-0.47690356226173947
0.31375,0.7040147602970191,0.7042384144496642,0.0031300945014597,0.0038839297763466757,-0.46557690040175337,-0.46419342320409385
0.315,0.7082615393817044,0.7084814846936803,0.016248191921853235,0.016975351703258982,-0.45238743867571873,-0.45109162170015793
0.31625,0.7125100295285164,0.7127270151920381,0.02941646971269373,0.030137825363244383,-0.4389225219753364,-0.43760333069141666
0.3175,0.7167617752038223,0.7169749379029828,0.04267475114651574,0.04336978048025324,-0.4249653150911457,-0.4237338868514797
0.31875,0.7210148936572888,0.7212251856250429,0.05598101775992851,0.056669648174226796,-0.4107395700664851,-0.4094887856898026
0.32,0.7252719631219843,0.725477692002037,0.06937322603653524,0.07003586157377686,-0.39603598832030656,-0.3948736765173635
0.32125,0.7295302329491413,0.7297323915280843,0.08281113027364874,0.08346685643197234,-0.38107287362774106,-0.37989435727547516
